Group Chi p1 p2 Class Size
M22 2 2 -1 -1 443520
M22 2 2 3 2 443520
M22 2 2 5 3 443520
M22 2 2 7 4 443520
M22 2 2 7 5 443520
M22 3 2 -1 -1 443520
M22 3 2 3 2 443520
M22 3 2 5 3 443520
M22 3 2 7 4 443520
M22 3 2 7 5 443520
M22 4 2 -1 -1 443520
M22 4 2 3 2 443520
M22 4 2 5 3 443520
M22 4 2 7 4 443520
M22 4 2 7 5 443520
M22 4 2 11 6 443520
M22 4 2 11 7 443520
M22 5 2 -1 -1 443520
M22 5 2 3 2 443520
M22 5 2 5 3 443520
M22 5 2 7 4 443520
M22 5 2 7 5 443520
M22 5 2 11 6 443520
M22 5 2 11 7 443520
M22 6 2 -1 -1 443520
M22 6 2 3 2 443520
M22 6 2 5 3 443520
M22 6 2 7 4 443520
M22 6 2 7 5 443520
M22 6 2 11 6 443520
M22 6 2 11 7 443520
M22 7 2 -1 -1 443520
M22 7 2 3 2 443520
M22 7 2 5 3 443520
M22 7 2 7 4 443520
M22 7 2 7 5 443520
M22 7 2 11 6 443520
M22 7 2 11 7 443520
M22 2 3 -1 -1 443520
M22 2 3 2 2 443520
M22 2 3 5 5 443520
M22 2 3 7 6 443520
M22 2 3 7 7 443520
M22 2 3 11 9 443520
M22 2 3 11 10 443520
M22 3 3 -1 -1 443520
M22 3 3 2 2 443520
M22 3 3 5 5 443520
M22 3 3 7 6 443520
M22 3 3 7 7 443520
M22 3 3 11 9 443520
M22 3 3 11 10 443520
M22 4 3 -1 -1 443520
M22 4 3 2 2 443520
M22 4 3 5 5 443520
M22 4 3 7 6 443520
M22 4 3 7 7 443520
M22 4 3 11 9 443520
M22 4 3 11 10 443520
M22 5 3 -1 -1 443520
M22 5 3 2 2 443520
M22 5 3 5 5 443520
M22 5 3 7 6 443520
M22 5 3 7 7 443520
M22 5 3 11 9 443520
M22 5 3 11 10 443520
M22 6 3 -1 -1 443520
M22 6 3 2 2 443520
M22 6 3 5 5 443520
M22 6 3 7 6 443520
M22 6 3 7 7 443520
M22 6 3 11 9 443520
M22 6 3 11 10 443520
M22 7 3 -1 -1 443520
M22 7 3 2 2 443520
M22 7 3 5 5 443520
M22 7 3 7 6 443520
M22 7 3 7 7 443520
M22 7 3 11 9 443520
M22 7 3 11 10 443520
M22 8 3 -1 -1 443520
M22 8 3 2 2 443520
M22 8 3 5 5 443520
M22 8 3 7 6 443520
M22 8 3 7 7 443520
M22 8 3 11 9 443520
M22 8 3 11 10 443520
M22 9 3 -1 -1 443520
M22 9 3 2 2 443520
M22 9 3 5 5 443520
M22 9 3 7 6 443520
M22 9 3 7 7 443520
M22 9 3 11 9 443520
M22 9 3 11 10 443520
M22 10 3 -1 -1 443520
M22 10 3 2 2 443520
M22 10 3 5 5 443520
M22 10 3 7 6 443520
M22 10 3 7 7 443520
M22 10 3 11 9 443520
M22 10 3 11 10 443520
M22 2 5 -1 -1 443520
M22 2 5 2 2 443520
M22 2 5 3 3 443520
M22 2 5 7 7 443520
M22 2 5 7 8 443520
M22 2 5 11 10 443520
M22 2 5 11 11 443520
M22 3 5 -1 -1 443520
M22 3 5 2 2 443520
M22 3 5 3 3 443520
M22 3 5 7 7 443520
M22 3 5 7 8 443520
M22 3 5 11 10 443520
M22 3 5 11 11 443520
M22 4 5 -1 -1 443520
M22 4 5 2 2 443520
M22 4 5 3 3 443520
M22 4 5 7 7 443520
M22 4 5 7 8 443520
M22 4 5 11 10 443520
M22 4 5 11 11 443520
M22 5 5 -1 -1 443520
M22 5 5 2 2 443520
M22 5 5 3 3 443520
M22 5 5 7 7 443520
M22 5 5 7 8 443520
M22 5 5 11 10 443520
M22 5 5 11 11 443520
M22 6 5 -1 -1 443520
M22 6 5 2 2 443520
M22 6 5 3 3 443520
M22 6 5 7 7 443520
M22 6 5 7 8 443520
M22 6 5 11 10 443520
M22 6 5 11 11 443520
M22 7 5 -1 -1 443520
M22 7 5 2 2 443520
M22 7 5 3 3 443520
M22 7 5 7 7 443520
M22 7 5 7 8 443520
M22 7 5 11 10 443520
M22 7 5 11 11 443520
M22 8 5 -1 -1 443520
M22 8 5 2 2 443520
M22 8 5 3 3 443520
M22 8 5 7 7 443520
M22 8 5 7 8 443520
M22 8 5 11 10 443520
M22 8 5 11 11 443520
M22 9 5 -1 -1 443520
M22 9 5 2 2 443520
M22 9 5 3 3 443520
M22 9 5 7 7 443520
M22 9 5 7 8 443520
M22 9 5 11 10 443520
M22 9 5 11 11 443520
M22 10 5 -1 -1 443520
M22 10 5 2 2 443520
M22 10 5 3 3 443520
M22 10 5 7 7 443520
M22 10 5 7 8 443520
M22 10 5 11 10 443520
M22 10 5 11 11 443520
M22 11 5 -1 -1 443520
M22 11 5 2 2 443520
M22 11 5 3 3 443520
M22 11 5 7 7 443520
M22 11 5 7 8 443520
M22 11 5 11 10 443520
M22 11 5 11 11 443520
M22 2 7 -1 -1 443520
M22 2 7 2 2 443520
M22 2 7 3 3 443520
M22 2 7 5 6 443520
M22 2 7 11 9 443520
M22 2 7 11 10 443520
M22 3 7 -1 -1 443520
M22 3 7 2 2 443520
M22 3 7 3 3 443520
M22 3 7 5 6 443520
M22 3 7 11 9 443520
M22 3 7 11 10 443520
M22 4 7 -1 -1 443520
M22 4 7 2 2 443520
M22 4 7 3 3 443520
M22 4 7 5 6 443520
M22 4 7 11 9 443520
M22 4 7 11 10 443520
M22 5 7 -1 -1 443520
M22 5 7 2 2 443520
M22 5 7 3 3 443520
M22 5 7 5 6 443520
M22 5 7 11 9 443520
M22 5 7 11 10 443520
M22 6 7 -1 -1 443520
M22 6 7 2 2 443520
M22 6 7 3 3 443520
M22 6 7 5 6 443520
M22 6 7 11 9 443520
M22 6 7 11 10 443520
M22 7 7 -1 -1 443520
M22 7 7 2 2 443520
M22 7 7 3 3 443520
M22 7 7 5 6 443520
M22 7 7 11 9 443520
M22 7 7 11 10 443520
M22 8 7 -1 -1 443520
M22 8 7 2 2 443520
M22 8 7 3 3 443520
M22 8 7 5 6 443520
M22 8 7 11 9 443520
M22 8 7 11 10 443520
M22 9 7 -1 -1 443520
M22 9 7 2 2 443520
M22 9 7 3 3 443520
M22 9 7 5 6 443520
M22 9 7 11 9 443520
M22 9 7 11 10 443520
M22 10 7 -1 -1 443520
M22 10 7 2 2 443520
M22 10 7 3 3 443520
M22 10 7 5 6 443520
M22 10 7 11 9 443520
M22 10 7 11 10 443520
M22 2 11 -1 -1 443520
M22 2 11 2 2 443520
M22 2 11 3 3 443520
M22 2 11 5 6 443520
M22 2 11 7 8 443520
M22 2 11 7 9 443520
M22 3 11 -1 -1 443520
M22 3 11 2 2 443520
M22 3 11 3 3 443520
M22 3 11 5 6 443520
M22 3 11 7 8 443520
M22 3 11 7 9 443520
