Group Chi p1 p2 Class Size
J3 2 2 -1 -1 50232960
J3 2 2 3 2 50232960
J3 2 2 3 3 50232960
J3 2 2 5 4 50232960
J3 2 2 5 5 50232960
J3 2 2 17 11 50232960
J3 2 2 17 12 50232960
J3 2 2 19 13 50232960
J3 2 2 19 14 50232960
J3 3 2 -1 -1 50232960
J3 3 2 3 2 50232960
J3 3 2 3 3 50232960
J3 3 2 5 4 50232960
J3 3 2 5 5 50232960
J3 3 2 17 11 50232960
J3 3 2 17 12 50232960
J3 3 2 19 13 50232960
J3 3 2 19 14 50232960
J3 4 2 -1 -1 50232960
J3 4 2 3 2 50232960
J3 4 2 3 3 50232960
J3 4 2 5 4 50232960
J3 4 2 5 5 50232960
J3 4 2 17 11 50232960
J3 4 2 17 12 50232960
J3 4 2 19 13 50232960
J3 4 2 19 14 50232960
J3 5 2 -1 -1 50232960
J3 5 2 3 2 50232960
J3 5 2 3 3 50232960
J3 5 2 5 4 50232960
J3 5 2 5 5 50232960
J3 5 2 17 11 50232960
J3 5 2 17 12 50232960
J3 5 2 19 13 50232960
J3 5 2 19 14 50232960
J3 6 2 -1 -1 50232960
J3 6 2 3 2 50232960
J3 6 2 3 3 50232960
J3 6 2 5 4 50232960
J3 6 2 5 5 50232960
J3 6 2 17 11 50232960
J3 6 2 17 12 50232960
J3 6 2 19 13 50232960
J3 6 2 19 14 50232960
J3 7 2 -1 -1 50232960
J3 7 2 3 2 50232960
J3 7 2 3 3 50232960
J3 7 2 5 4 50232960
J3 7 2 5 5 50232960
J3 7 2 17 11 50232960
J3 7 2 17 12 50232960
J3 7 2 19 13 50232960
J3 7 2 19 14 50232960
J3 8 2 -1 -1 50232960
J3 8 2 3 2 50232960
J3 8 2 3 3 50232960
J3 8 2 5 4 50232960
J3 8 2 5 5 50232960
J3 8 2 17 11 50232960
J3 8 2 17 12 50232960
J3 8 2 19 13 50232960
J3 8 2 19 14 50232960
J3 9 2 -1 -1 50232960
J3 9 2 3 2 50232960
J3 9 2 3 3 50232960
J3 9 2 5 4 50232960
J3 9 2 5 5 50232960
J3 9 2 17 11 50232960
J3 9 2 17 12 50232960
J3 9 2 19 13 50232960
J3 9 2 19 14 50232960
J3 10 2 -1 -1 50232960
J3 10 2 3 2 50232960
J3 10 2 3 3 50232960
J3 10 2 5 4 50232960
J3 10 2 5 5 50232960
J3 10 2 17 11 50232960
J3 10 2 17 12 50232960
J3 10 2 19 13 50232960
J3 10 2 19 14 50232960
J3 11 2 -1 -1 50232960
J3 11 2 3 2 50232960
J3 11 2 3 3 50232960
J3 11 2 5 4 50232960
J3 11 2 5 5 50232960
J3 11 2 17 11 50232960
J3 11 2 17 12 50232960
